 kt  | Degrees
-----|--------
   0 |    0,00
  30 |   16,33
  35 |   20,64
  40 |   25,16
  45 |   30,78
  50 |   36,38
  55 |   41,58
  60 |   47,91
  65 |   55,18
  70 |   63,13
  75 |   70,69
  80 |   78,55
  85 |   86,55
  90 |   95,51
  95 |  103,63
 100 |  112,29
 105 |  120,19
 110 |  128,85
 115 |  136,79
 120 |  146,31
 125 |  154,45
 130 |  164,23
 135 |  171,92
 140 |  181,28
 145 |  189,25
 150 |  197,62
 155 |  206,00
 160 |  212,92
 165 |  221,06
 170 |  228,69
 175 |  237,13
 180 |  245,22
 185 |  253,59
 190 |  261,33
 195 |  270,00
 200 |  276,71
 210 |  289,4
 215 |  296,27
 220 |  302,47
 225 |  309,98
 230 |  317,94
 235 |  325,15
 240 |  332,97
 245 |  340,14
 250 |  346,98
